stock_name,datetime,open,high,low,close,volume
AMZN,"2018-02-26 15:25:00",1516,1517,1516,1516,6621
AMZN,"2018-02-26 15:26:00",1516,1517,1516,1516,3571
AMZN,"2018-02-26 15:27:00",1516,1516,1515,1515,4800
AMZN,"2018-02-26 15:28:00",1515,1516,1515,1515,4483
AMZN,"2018-02-26 15:29:00",1516,1516,1515,1515,5396
AMZN,"2018-02-26 15:30:00",1516,1517,1516,1516,4349
AMZN,"2018-02-26 15:31:00",1516,1516,1516,1516,3118
AMZN,"2018-02-26 15:32:00",1516,1517,1516,1517,1700
AMZN,"2018-02-26 15:33:00",1517,1518,1517,1517,10102
AMZN,"2018-02-26 15:34:00",1518,1518,1517,1518,6497
AMZN,"2018-02-26 15:35:00",1518,1518,1517,1518,8601
AMZN,"2018-02-26 15:36:00",1518,1518,1517,1518,4436
AMZN,"2018-02-26 15:37:00",1518,1518,1517,1517,4508
AMZN,"2018-02-26 15:38:00",1517,1518,1517,1518,4013
AMZN,"2018-02-26 15:39:00",1518,1518,1517,1518,7074
AMZN,"2018-02-26 15:40:00",1518,1518,1518,1518,9240
AMZN,"2018-02-26 15:41:00",1518,1518,1518,1518,3660
AMZN,"2018-02-26 15:42:00",1518,1518,1518,1518,4829
AMZN,"2018-02-26 15:43:00",1518,1518,1518,1518,7591
AMZN,"2018-02-26 15:44:00",1518,1519,1518,1519,16981
AMZN,"2018-02-26 15:45:00",1519,1519,1518,1519,5078
AMZN,"2018-02-26 15:46:00",1519,1520,1519,1519,20350
AMZN,"2018-02-26 15:47:00",1519,1520,1519,1519,11230
AMZN,"2018-02-26 15:48:00",1519,1519,1519,1519,6501
AMZN,"2018-02-26 15:49:00",1520,1520,1519,1520,12621
AMZN,"2018-02-26 15:50:00",1520,1520,1518,1519,13621
AMZN,"2018-02-26 15:51:00",1520,1520,1519,1519,10920
AMZN,"2018-02-26 15:52:00",1519,1520,1519,1520,10530
AMZN,"2018-02-26 15:53:00",1520,1520,1519,1519,8653
AMZN,"2018-02-26 15:54:00",1519,1519,1519,1519,8605
AMZN,"2018-02-26 15:55:00",1519,1519,1518,1519,9889
AMZN,"2018-02-26 15:56:00",1519,1520,1519,1520,21442
