stock_name,datetime,open,high,low,close,volume
GOOG,"2018-02-26 14:37:00",1138.09,1138.3982,1138.09,1138.14,2050
GOOG,"2018-02-26 14:38:00",1138.235,1138.5,1138.235,1138.5,700
GOOG,"2018-02-26 14:39:00",1138.43,1138.52,1137.99,1137.99,2040
GOOG,"2018-02-26 14:40:00",1138.02,1138.5999,1138.02,1138.5999,900
GOOG,"2018-02-26 14:41:00",1137.85,1137.87,1137.82,1137.87,600
GOOG,"2018-02-26 14:42:00",1137.99,1137.99,1137.44,1137.93,1400
GOOG,"2018-02-26 14:43:00",1138.08,1138.604,1138.08,1138.604,1165
GOOG,"2018-02-26 14:44:00",1138.84,1138.84,1138.56,1138.565,400
GOOG,"2018-02-26 14:45:00",1138.73,1138.73,1138,1138.105,904
GOOG,"2018-02-26 14:46:00",1137.93,1137.93,1137.1,1137.32,1500
GOOG,"2018-02-26 14:47:00",1137.55,1137.87,1137.5,1137.7665,600
GOOG,"2018-02-26 14:48:00",1137.8267,1137.86,1137.3,1137.79,1450
GOOG,"2018-02-26 14:49:00",1137.18,1137.47,1136.9526,1137.47,4626
GOOG,"2018-02-26 14:50:00",1137.49,1137.75,1137.14,1137.476,1300
GOOG,"2018-02-26 14:51:00",1137.48,1137.56,1137.27,1137.27,600
GOOG,"2018-02-26 14:52:00",1137.4919,1137.99,1137.4919,1137.9433,3886
GOOG,"2018-02-26 14:53:00",1137.8656,1138.25,1137.8656,1138.25,2130
GOOG,"2018-02-26 14:54:00",1138.293,1138.4018,1138,1138,1123
GOOG,"2018-02-26 14:55:00",1138.42,1138.97,1138.22,1138.77,2200
GOOG,"2018-02-26 14:56:00",1138.95,1138.95,1138.43,1138.6,500
GOOG,"2018-02-26 14:57:00",1138.6,1139,1138.24,1139,1820
GOOG,"2018-02-26 14:58:00",1138.6409,1139.16,1138.6409,1139.11,700
GOOG,"2018-02-26 14:59:00",1139.4228,1139.5875,1139.0853,1139.1267,2431
GOOG,"2018-02-26 15:00:00",1138.93,1139.43,1138.9,1138.93,2329
GOOG,"2018-02-26 15:01:00",1139.35,1139.378,1139.25,1139.25,990
GOOG,"2018-02-26 15:02:00",1139.4297,1139.4297,1139.154,1139.17,900
GOOG,"2018-02-26 15:03:00",1139.17,1139.86,1139.17,1139.55,2797
GOOG,"2018-02-26 15:04:00",1139.8,1140.13,1138.78,1138.78,4000
GOOG,"2018-02-26 15:05:00",1139.25,1139.94,1139.25,1139.614,1900
GOOG,"2018-02-26 15:06:00",1139.63,1139.81,1139.62,1139.79,500
GOOG,"2018-02-26 15:07:00",1139.94,1140.055,1139.49,1139.49,1200
GOOG,"2018-02-26 15:08:00",1139.64,1140.09,1139.64,1140.08,700
GOOG,"2018-02-26 15:09:00",1140.15,1140.73,1139.95,1140.46,3803
GOOG,"2018-02-26 15:10:00",1140.15,1140.25,1139.57,1140.25,2816
GOOG,"2018-02-26 15:11:00",1140.2,1140.77,1140.19,1140.51,1599
GOOG,"2018-02-26 15:12:00",1140.6,1140.8484,1139.9401,1140.38,2150
GOOG,"2018-02-26 15:13:00",1140.48,1140.48,1139.9,1140.22,800
GOOG,"2018-02-26 15:14:00",1140.27,1140.39,1140.18,1140.18,500
GOOG,"2018-02-26 15:15:00",1140.37,1140.46,1140.01,1140.42,1345
GOOG,"2018-02-26 15:16:00",1139.81,1140.08,1139.68,1139.68,2234
GOOG,"2018-02-26 15:17:00",1139.681,1139.681,1139.681,1139.681,100
GOOG,"2018-02-26 15:18:00",1140.08,1140.2,1139.57,1139.57,1100
GOOG,"2018-02-26 15:19:00",1139.8,1139.85,1139.8,1139.85,200
GOOG,"2018-02-26 15:20:00",1139.92,1140.6,1139.92,1140.58,1600
GOOG,"2018-02-26 15:21:00",1140.67,1141.2,1140.67,1140.93,2753
GOOG,"2018-02-26 15:22:00",1140.77,1140.86,1140.395,1140.86,500
GOOG,"2018-02-26 15:23:00",1141,1141,1140.66,1140.66,400
GOOG,"2018-02-26 15:24:00",1140.98,1141.5,1140.98,1141.17,2626
GOOG,"2018-02-26 15:25:00",1141.08,1141.5,1141.03,1141.03,6402
GOOG,"2018-02-26 15:26:00",1140.8668,1140.87,1140.5,1140.7627,600
GOOG,"2018-02-26 15:27:00",1140.61,1140.736,1140.03,1140.03,3029
GOOG,"2018-02-26 15:28:00",1140.01,1140.9,1139.94,1140.84,2199
GOOG,"2018-02-26 15:29:00",1140.63,1140.63,1140.35,1140.35,900
GOOG,"2018-02-26 15:30:00",1140.5,1141.035,1140.5,1141.035,985
GOOG,"2018-02-26 15:31:00",1141.005,1141.005,1139.96,1140.06,2975
GOOG,"2018-02-26 15:32:00",1140.1,1140.84,1140.1,1140.84,1295
GOOG,"2018-02-26 15:33:00",1140.4603,1141.5,1140.4603,1141.4,4989
GOOG,"2018-02-26 15:34:00",1141.395,1141.92,1141.395,1141.66,2220
GOOG,"2018-02-26 15:35:00",1141.4007,1141.92,1141.4007,1141.73,1372
GOOG,"2018-02-26 15:36:00",1141.73,1142.29,1141.7228,1141.89,2855
GOOG,"2018-02-26 15:37:00",1142.02,1142.06,1141.66,1141.66,1093
GOOG,"2018-02-26 15:38:00",1141.74,1141.74,1141.26,1141.6156,2825
GOOG,"2018-02-26 15:39:00",1141.5,1141.97,1141.5,1141.75,2221
GOOG,"2018-02-26 15:40:00",1141.72,1142.34,1141.72,1141.951,2450
GOOG,"2018-02-26 15:41:00",1142.42,1142.8,1142.285,1142.285,3215
GOOG,"2018-02-26 15:42:00",1142.39,1142.45,1141.5,1141.5,1652
GOOG,"2018-02-26 15:43:00",1141.17,1141.17,1140.85,1141.084,5741
GOOG,"2018-02-26 15:44:00",1141.055,1141.45,1140.83,1141.11,900
GOOG,"2018-02-26 15:45:00",1140.73,1141.35,1140.715,1141.1792,1470
GOOG,"2018-02-26 15:46:00",1141.01,1141.77,1140.82,1141.76,4112
GOOG,"2018-02-26 15:47:00",1141.77,1142.22,1141.69,1142.19,1156
GOOG,"2018-02-26 15:48:00",1141.97,1141.97,1141.47,1141.74,2570
GOOG,"2018-02-26 15:49:00",1142.2,1142.2246,1141.46,1141.46,1400
GOOG,"2018-02-26 15:50:00",1141.44,1143.19,1140.81,1141.21,4500
GOOG,"2018-02-26 15:51:00",1141.21,1142.02,1141.21,1141.64,1909
GOOG,"2018-02-26 15:52:00",1141.48,1141.78,1141.13,1141.555,2244
GOOG,"2018-02-26 15:53:00",1141.4725,1141.4725,1140.74,1140.83,2852
GOOG,"2018-02-26 15:54:00",1140.855,1141.51,1140.855,1141.118,3615
GOOG,"2018-02-26 15:55:00",1140.97,1140.97,1140.68,1140.92,1770
GOOG,"2018-02-26 15:56:00",1141.18,1142.08,1141.18,1141.88,4832
GOOG,"2018-02-26 15:57:00",1142.02,1142.53,1141.87,1142.51,2807
GOOG,"2018-02-26 15:58:00",1142.43,1142.509,1141.83,1142.05,6769
GOOG,"2018-02-26 15:59:00",1142.11,1142.8,1142.09,1142.185,2750
GOOG,"2018-02-26 16:00:00",1142.25,1143.96,1142.25,1143.75,118751
GOOG,"2018-02-27 09:30:00",1141.24,1144.04,1140.39,1141.7,33189
GOOG,"2018-02-27 09:31:00",1141.81,1142.04,1140.0201,1140.62,9600
GOOG,"2018-02-27 09:32:00",1139.622,1142.75,1139.6,1142.18,6910
GOOG,"2018-02-27 09:33:00",1142.15,1142.99,1140.98,1140.98,5600
GOOG,"2018-02-27 09:34:00",1140.6,1141.19,1138.1,1138.49,11388
